,Iterations,Depth,Learning_Rate,L2_leaf_reg,Score
0,700.0,7.0,0.01,0.8,0.8269674370987307
1,700.0,7.0,0.01,0.9,0.8271412949278786
2,700.0,7.0,0.01,1.0,0.8272274718813547
3,700.0,7.0,0.02,0.8,0.8293574348660696
4,700.0,7.0,0.02,0.9,0.8292288384600678
5,700.0,7.0,0.02,1.0,0.8290846056865289
6,700.0,7.0,0.03,0.8,0.8301625419204489
7,700.0,7.0,0.03,0.9,0.8302802570070333
8,700.0,7.0,0.03,1.0,0.8297859421093903
9,700.0,7.0,0.4,0.8,0.7970709677661924
10,700.0,7.0,0.4,0.9,0.7973697396036127
11,700.0,7.0,0.4,1.0,0.7989935111286373
12,700.0,8.0,0.01,0.8,0.8273136930678364
13,700.0,8.0,0.01,0.9,0.8276049010612714
14,700.0,8.0,0.01,1.0,0.8278657320379992
15,700.0,8.0,0.02,0.8,0.8299577209872674
16,700.0,8.0,0.02,0.9,0.8296422069571663
17,700.0,8.0,0.02,1.0,0.8298646768596468
18,700.0,8.0,0.03,0.8,0.8295001416009097
19,700.0,8.0,0.03,0.9,0.8298376504931262
20,700.0,8.0,0.03,1.0,0.8300626527351866
21,700.0,8.0,0.4,0.8,0.7934469907788559
22,700.0,8.0,0.4,0.9,0.795557402775024
23,700.0,8.0,0.4,1.0,0.7939530053065231
24,850.0,7.0,0.01,0.8,0.8277685078913342
25,850.0,7.0,0.01,0.9,0.8279642168253286
26,850.0,7.0,0.01,1.0,0.827964902436918
27,850.0,7.0,0.02,0.8,0.8298254311252842
28,850.0,7.0,0.02,0.9,0.8296393760447974
29,850.0,7.0,0.02,1.0,0.8295783676716
30,850.0,7.0,0.03,0.8,0.8303740088627463
31,850.0,7.0,0.03,0.9,0.8305114850446548
32,850.0,7.0,0.03,1.0,0.8296285831913914
33,850.0,7.0,0.4,0.8,0.7946111592575091
34,850.0,7.0,0.4,0.9,0.7964943131283229
35,850.0,7.0,0.4,1.0,0.7986176411621736
36,850.0,8.0,0.01,0.8,0.8280787360772468
37,850.0,8.0,0.01,0.9,0.8284318481622458
38,850.0,8.0,0.01,1.0,0.8286326438919028
39,850.0,8.0,0.02,0.8,0.8302296544484415
40,850.0,8.0,0.02,0.9,0.8299619562975692
41,850.0,8.0,0.02,1.0,0.829949051318138
42,850.0,8.0,0.03,0.8,0.8293606859919932
43,850.0,8.0,0.03,0.9,0.8301952301117071
44,850.0,8.0,0.03,1.0,0.8298862846829616
45,850.0,8.0,0.4,0.8,0.7943907793645508
46,850.0,8.0,0.4,0.9,0.7963490187626459
47,850.0,8.0,0.4,1.0,0.7949327000346454
48,1000.0,7.0,0.01,0.8,0.8284307202205988
49,1000.0,7.0,0.01,0.9,0.8285882450123692
50,1000.0,7.0,0.01,1.0,0.8286081609232137
51,1000.0,7.0,0.02,0.8,0.8301501566788354
52,1000.0,7.0,0.02,0.9,0.8298427594052915
53,1000.0,7.0,0.02,1.0,0.829876730353717
54,1000.0,7.0,0.03,0.8,0.8303795932797237
55,1000.0,7.0,0.03,0.9,0.8304482760794206
56,1000.0,7.0,0.03,1.0,0.8297186194746202
57,1000.0,7.0,0.4,0.8,0.7945974580839743
58,1000.0,7.0,0.4,0.9,0.7960828687669752
59,1000.0,7.0,0.4,1.0,0.7974479435578
60,1000.0,8.0,0.01,0.8,0.8286566292392775
61,1000.0,8.0,0.01,0.9,0.8289076404887261
62,1000.0,8.0,0.01,1.0,0.8291197598678582
63,1000.0,8.0,0.02,0.8,0.8305459204396407
64,1000.0,8.0,0.02,0.9,0.8302265360215353
65,1000.0,8.0,0.02,1.0,0.8300884737523002
66,1000.0,8.0,0.03,0.8,0.8293398411880277
67,1000.0,8.0,0.03,0.9,0.8298854663723549
68,1000.0,8.0,0.03,1.0,0.8297561069470037
69,1000.0,8.0,0.4,0.8,0.7962437110341778
70,1000.0,8.0,0.4,0.9,0.7980496893681879
71,1000.0,8.0,0.4,1.0,0.7957385037588656
72,1200.0,7.0,0.01,0.8,0.8291147062469499
73,1200.0,7.0,0.01,0.9,0.8292484889728775
74,1200.0,7.0,0.01,1.0,0.8291759910764334
75,1200.0,7.0,0.02,0.8,0.8302979391510869
76,1200.0,7.0,0.02,0.9,0.8301643665319366
77,1200.0,7.0,0.02,1.0,0.8298682597331135
78,1200.0,7.0,0.03,0.8,0.8302206640900204
79,1200.0,7.0,0.03,0.9,0.8303074492473256
80,1200.0,7.0,0.03,1.0,0.829702828291563
