,Iterations,Depth,Learning_Rate,L2_leaf_reg,Score
0,850.0,6.0,0.015,0.75,0.8287351428245052
1,850.0,6.0,0.015,0.8,0.82880825998303
2,850.0,6.0,0.015,0.85,0.8285094107378497
3,850.0,6.0,0.015,0.9,0.8286496183078641
4,850.0,6.0,0.02,0.75,0.8291664146306859
5,850.0,6.0,0.02,0.8,0.8294669447300852
6,850.0,6.0,0.02,0.85,0.8295488089654994
7,850.0,6.0,0.02,0.9,0.8293838309122581
8,850.0,6.0,0.025,0.75,0.829876177441145
9,850.0,6.0,0.025,0.8,0.8301029600616874
10,850.0,6.0,0.025,0.85,0.8298943903812674
11,850.0,6.0,0.025,0.9,0.8298982607692715
12,850.0,6.0,0.3,0.75,0.8090866094416898
13,850.0,6.0,0.3,0.8,0.8085322592969761
14,850.0,6.0,0.3,0.85,0.8083107625206223
15,850.0,6.0,0.3,0.9,0.8077164367969508
16,850.0,7.0,0.015,0.75,0.8295975316213464
17,850.0,7.0,0.015,0.8,0.829397985474102
18,850.0,7.0,0.015,0.85,0.8291702850186902
19,850.0,7.0,0.015,0.9,0.8290945691710769
20,850.0,7.0,0.02,0.75,0.8295879994086047
21,850.0,7.0,0.02,0.8,0.8298254311252842
22,850.0,7.0,0.02,0.85,0.8300056253325079
23,850.0,7.0,0.02,0.9,0.8296393760447974
24,850.0,7.0,0.025,0.75,0.829963836200314
25,850.0,7.0,0.025,0.8,0.8303382685940903
26,850.0,7.0,0.025,0.85,0.830084802412822
27,850.0,7.0,0.025,0.9,0.8297035249614039
28,850.0,7.0,0.3,0.75,0.8036611880034338
29,850.0,7.0,0.3,0.8,0.8021096710933218
30,850.0,7.0,0.3,0.85,0.8029814925786416
31,850.0,7.0,0.3,0.9,0.802240291159337
32,850.0,8.0,0.015,0.75,0.8296413665300568
33,850.0,8.0,0.015,0.8,0.8292838311444815
34,850.0,8.0,0.015,0.85,0.8300060566043141
35,850.0,8.0,0.015,0.9,0.8297428038705207
36,850.0,8.0,0.02,0.75,0.8301990562667055
37,850.0,8.0,0.02,0.8,0.8302296544484415
38,850.0,8.0,0.02,0.85,0.8300276091363715
39,850.0,8.0,0.02,0.9,0.8299619562975692
40,850.0,8.0,0.025,0.75,0.8295449164609924
41,850.0,8.0,0.025,0.8,0.8300569798521977
42,850.0,8.0,0.025,0.85,0.829920133990621
43,850.0,8.0,0.025,0.9,0.8299649199089553
44,850.0,8.0,0.3,0.75,0.8015509529392888
45,850.0,8.0,0.3,0.8,0.8053189636516381
46,850.0,8.0,0.3,0.85,0.8064048507683439
47,850.0,8.0,0.3,0.9,0.8020018752582793
48,1200.0,6.0,0.015,0.75,0.829684449477669
49,1200.0,6.0,0.015,0.8,0.8298638474907887
50,1200.0,6.0,0.015,0.85,0.8295781575648227
51,1200.0,6.0,0.015,0.9,0.8296818839633349
52,1200.0,6.0,0.02,0.75,0.8297515841221644
53,1200.0,6.0,0.02,0.8,0.8301458771355279
54,1200.0,6.0,0.02,0.85,0.8301503004361044
55,1200.0,6.0,0.02,0.9,0.8300354826113974
56,1200.0,6.0,0.025,0.75,0.8305368526734594
57,1200.0,6.0,0.025,0.8,0.8305748377671576
58,1200.0,6.0,0.025,0.85,0.8302004053733814
59,1200.0,6.0,0.025,0.9,0.8304239479262516
60,1200.0,6.0,0.3,0.75,0.805643832962458
61,1200.0,6.0,0.3,0.8,0.8056518391365008
62,1200.0,6.0,0.3,0.85,0.8054516626689245
63,1200.0,6.0,0.3,0.9,0.8049512325582346
64,1200.0,7.0,0.015,0.75,0.8304057239278777
65,1200.0,7.0,0.015,0.8,0.8302894464139804
66,1200.0,7.0,0.015,0.85,0.8299251765532779
67,1200.0,7.0,0.015,0.9,0.8297770623334834
68,1200.0,7.0,0.02,0.75,0.8301875778017103
69,1200.0,7.0,0.02,0.8,0.8302979391510869
70,1200.0,7.0,0.02,0.85,0.8306586040218196
71,1200.0,7.0,0.02,0.9,0.8301643665319366
72,1200.0,7.0,0.025,0.75,0.8299982826535511
73,1200.0,7.0,0.025,0.8,0.8304635585829114
74,1200.0,7.0,0.025,0.85,0.8304885170564129
75,1200.0,7.0,0.025,0.9,0.8297433014918356
76,1200.0,7.0,0.3,0.75,0.8022130989190448
77,1200.0,7.0,0.3,0.8,0.8000998338940051
78,1200.0,7.0,0.3,0.85,0.8016368755529817
79,1200.0,7.0,0.3,0.9,0.8015691879959141
80,1200.0,8.0,0.015,0.75,0.8301836742389517
81,1200.0,8.0,0.015,0.8,0.8301193483903222
82,1200.0,8.0,0.015,0.85,0.8308914023311458
83,1200.0,8.0,0.015,0.9,0.8305523674002305
84,1200.0,8.0,0.02,0.75,0.8301624645126888
85,1200.0,8.0,0.02,0.8,0.830553661215649
86,1200.0,8.0,0.02,0.85,0.8301607726002183
87,1200.0,8.0,0.02,0.9,0.8303234505371601
88,1200.0,8.0,0.025,0.75,0.8295035143675991
89,1200.0,8.0,0.025,0.8,0.8300607175411845
90,1200.0,8.0,0.025,0.85,0.8297669882664211
91,1200.0,8.0,0.025,0.9,0.8300316011651416
92,1200.0,8.0,0.3,0.75,0.8036120230175292
93,1200.0,8.0,0.3,0.8,0.8072619868957509
94,1200.0,8.0,0.3,0.85,0.8078510488917364
95,1200.0,8.0,0.3,0.9,0.8034908135234896
